gage_id,time_start,temperature,specific_humidity,pressure,wind_u,wind_v,longwave_radiation,convective_fraction,shortwave_radiation
4127918,2001-01-01T00:00:00,"[-11.529583333333308, -11.946249999999983, -13.285416666666654, -11.45791666666664, -12.192916666666642]","[0.0014044666656494141, 0.0013605333323160806, 0.0012259416656494138, 0.0014110499989827474, 0.001333208332316081]","[99418.35625, 99684.54291666667, 100085.10291666664, 99358.06291666668, 99568.30291666665]","[-0.08083333333333333, -0.019583333333333303, -0.011250000000000001, -0.026666666666666745, 0.004166666666666541]","[-2.1562499999999996, -2.2362499999999996, -2.1212500000000003, -2.0316666666666667, -2.101666666666667]","[214.51499999999996, 210.76125000000002, 200.7266666666667, 215.48750000000007, 209.26999999999995]","[0.0, 0.0, 0.0, 0.0, 0.0]","[64.7375, 66.75116666666668, 73.92450000000001, 65.9175, 68.46816666666666]"
4127997,2001-01-01T00:00:00,"[-10.547916666666639, -10.120416666666648, -10.112499999999976]","[0.0015500416656494143, 0.0015832749989827478, 0.0015804749989827473]","[97670.70291666668, 98363.98291666666, 98936.96958333334]","[0.3216666666666667, 0.25375, 0.13000000000000003]","[-3.1708333333333343, -3.0166666666666675, -3.003333333333332]","[210.00458333333333, 210.36874999999998, 208.50624999999994]","[0.0, 0.0, 0.0]","[70.6775, 68.82316666666667, 71.9015]"
4161580,2001-01-01T00:00:00,[],[],[],[],[],[],[],[]
4185000,2001-01-01T00:00:00,"[-10.589583333333309, -10.769166666666647, -10.90583333333331, -11.137916666666648, -11.544999999999973, -11.585416666666639, -12.020833333333309]","[0.0015884583323160807, 0.0015678999989827472, 0.0015513249989827472, 0.0015231666656494137, 0.0014775999989827474, 0.0014684333323160806, 0.0014224833323160802]","[99783.2629166667, 99964.08958333333, 99365.82291666669, 99641.10291666666, 99734.56958333334, 99291.84958333331, 98746.94291666668]","[1.8908333333333331, 1.9904166666666663, 1.8962500000000002, 1.9949999999999999, 2.1704166666666667, 1.9591666666666667, 1.9200000000000006]","[-2.432916666666667, -2.45125, -2.48625, -2.3741666666666665, -2.1354166666666665, -2.363333333333333, -2.529583333333333]","[214.27249999999992, 210.15666666666664, 212.20250000000007, 207.5291666666667, 201.7379166666667, 203.79000000000005, 200.0983333333334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[82.3575, 84.88283333333334, 79.0715, 80.9835, 85.63516666666668, 81.32416666666667, 80.36183333333334]"
4196800,2001-01-01T00:00:00,"[-9.118333333333313, -9.507083333333311]","[0.0017908833323160807, 0.001734158332316081]","[99206.27625, 99234.78291666665]","[2.133333333333333, 2.1004166666666673]","[-1.8775000000000002, -1.955]","[203.69625000000005, 198.94666666666672]","[0.0, 0.0]","[100.31283333333333, 100.41416666666665]"
4197100,2001-01-01T00:00:00,"[-9.412916666666645, -10.572083333333316]","[0.0017605999989827477, 0.0016040333323160806]","[98833.9829166667, 99059.84958333334]","[2.607083333333334, 2.646666666666667]","[-2.3629166666666666, -1.5583333333333333]","[190.0929166666667, 188.79291666666666]","[0.0, 0.0]","[99.73683333333334, 109.08416666666666]"
4197170,2001-01-01T00:00:00,[-10.708333333333307],[0.0015796583323160805],[99314.00958333333],[2.610833333333334],[-1.2495833333333335],[188.85541666666668],[0.0],[102.88616666666667]
4213000,2001-01-01T00:00:00,"[-6.574583333333313, -5.760416666666646, -6.0499999999999785]","[0.0021677999989827466, 0.0022893583323160805, 0.002228024998982747]","[97732.46291666669, 98573.71625, 97962.03625000002]","[2.8991666666666673, 4.077083333333333, 3.3049999999999997]","[-2.550416666666667, -2.796666666666667, -2.7045833333333333]","[242.10166666666672, 253.26583333333335, 247.59374999999991]","[0.0, 0.0, 0.0]","[75.54566666666666, 80.06400000000001, 80.23383333333334]"
4213075,2001-01-01T00:00:00,[],[],[],[],[],[],[],[]
4216418,2001-01-01T00:00:00,"[-10.59458333333331, -10.13583333333331]","[0.0015978833323160807, 0.0016324916656494145]","[95843.47624999999, 97112.03625]","[5.450416666666666, 5.473749999999999]","[-2.6670833333333337, -2.7049999999999996]","[207.9679166666667, 211.21374999999998]","[0.0, 0.0]","[91.24499999999999, 91.53866666666666]"
4221000,2001-01-01T00:00:00,"[-10.073749999999977, -9.98416666666664, -10.33374999999998, -10.38041666666664, -10.548333333333312]","[0.0016575499989827474, 0.0016699916656494139, 0.001629833332316081, 0.001620458332316081, 0.0016071166656494139]","[94177.66291666665, 95021.95625, 94273.60958333335, 94044.51625, 94483.28958333332]","[4.802916666666667, 4.932083333333332, 4.960416666666665, 4.955416666666666, 5.171250000000001]","[-2.5716666666666668, -2.5383333333333336, -2.6079166666666667, -2.6375000000000006, -2.9554166666666664]","[197.78708333333336, 202.94083333333336, 199.18333333333328, 196.8416666666667, 200.99041666666668]","[0.0, 0.0, 0.0, 0.0, 0.0]","[91.1715, 93.0405, 95.62416666666668, 93.1805, 96.68233333333332]"
