gage_id,time_start,potential_energy,potential_evaporation,total_precipitation
4127918,2001-01-01T00:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.35329999999999995, 0.32220000000000004, 0.2805, 0.36450000000000005, 0.3350000000000001]","[0.0, 0.0, 0.0, 0.0, 0.0]"
4127997,2001-01-01T00:00:00,"[0.0, 0.0, 0.0]","[0.3574, 0.3701000000000001, 0.34730000000000005]","[0.0, 0.0, 0.0]"
4161580,2001-01-01T00:00:00,[],[],[]
4185000,2001-01-01T00:00:00,"[33.088, 24.132, 40.0, 30.692, 18.371999999999996, 35.868, 33.516]","[0.12050000000000002, 0.10449999999999995, 0.1269, 0.10530000000000005, 0.08209999999999995, 0.10299999999999994, 0.10140000000000007]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4196800,2001-01-01T00:00:00,"[0.0, 0.0]","[0.25639999999999996, 0.252]","[0.1723, 0.0]"
4197100,2001-01-01T00:00:00,"[0.0, 0.0]","[0.19030000000000002, 0.19060000000000002]","[0.0, 0.0]"
4197170,2001-01-01T00:00:00,[0.0],[0.18360000000000007],[0.0]
4213000,2001-01-01T00:00:00,"[0.0, 0.0, 0.0]","[0.6273, 0.7379, 0.7903]","[0.4103, 0.5208, 0.2674]"
4213075,2001-01-01T00:00:00,[],[],[]
4216418,2001-01-01T00:00:00,"[0.0, 0.0]","[0.4377, 0.4498999999999999]","[0.5663, 0.5434]"
4221000,2001-01-01T00:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5999999999999999, 0.5466999999999999, 0.5608000000000001, 0.5764, 0.537]","[0.1248, 0.0, 0.0, 0.0, 0.07]"
4224775,2001-01-01T00:00:00,"[0.0, 0.0]","[0.5032999999999999, 0.5033]","[0.14900000000000002, 0.1648]"
4233000,2001-01-01T00:00:00,[0.0],[0.5401000000000001],[0.1298]
4256000,2001-01-01T00:00:00,"[0.0, 0.0, 0.0]","[0.6074, 0.6308999999999999, 0.6714999999999999]","[0.0, 0.0, 0.0]"
4296000,2001-01-01T00:00:00,[0.0],[0.7289000000000001],[1.2117999999999995]
5056000,2001-01-01T00:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.029399999999999985, 0.030999999999999996, 0.03000000000000002, 0.02609999999999997, 0.04540000000000001, 0.0395, 0.03240000000000002, 0.024099999999999993, 0.014800000000000002, 0.005500000000000011, 0.012400000000000008, 0.019099999999999992, 0.004499999999999994, -0.008399999999999989, -0.01180000000000002, -0.009699999999999999, -0.006200000000000001, -0.001700000000000014, 0.003100000000000003, 0.010500000000000006, 0.0472, 0.027599999999999993, 0.007700000000000013, -0.011599999999999985, -0.015099999999999992, -0.0154, -0.0154, -0.012699999999999993, -6.999999999999958E-4, 0.053299999999999986, 0.031299999999999994, 0.009500000000000019, -0.011099999999999997, -0.015199999999999995, -0.013799999999999993, -0.012599999999999986, -0.009599999999999992, 0.0523, 0.043399999999999994, 0.02559999999999999, 0.007800000000000017, -0.009300000000000001, -0.013399999999999995, -0.010399999999999996, 0.0346]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5057000,2001-01-01T00:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.029399999999999985, 0.04419999999999999, 0.030999999999999996, 0.03000000000000002, 0.02609999999999997, 0.0364, 0.0483, 0.055799999999999995, 0.04540000000000001, 0.0395, 0.03240000000000002, 0.024099999999999993, 0.014800000000000002, 0.005500000000000011, 0.012400000000000008, 0.018299999999999986, 0.02759999999999999, 0.03779999999999999, 0.04669999999999999, 0.0547, 0.019099999999999992, 0.004499999999999994, -0.008399999999999989, -0.01180000000000002, -0.009699999999999999, -0.006200000000000001, -0.001700000000000014, 0.003100000000000003, 0.010500000000000006, 0.0172, 0.024500000000000008, 0.0315, 0.03649999999999999, 0.041800000000000004, 0.0472, 0.027599999999999993, 0.007700000000000013, -0.011599999999999985, -0.015099999999999992, -0.0154, -0.0154, -0.012699999999999993, -6.999999999999958E-4, 0.02840000000000001, 0.034399999999999986, 0.037899999999999996, 0.042499999999999996, 0.053299999999999986, 0.031299999999999994, 0.009500000000000019, -0.011099999999999997, -0.015199999999999995, -0.013799999999999993, -0.012599999999999986, -0.009599999999999992, 0.02890000000000001, 0.0523, 0.043399999999999994, 0.02559999999999999, 0.007800000000000017, -0.009300000000000001, -0.013399999999999995, -0.010399999999999996, 0.0346]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5057200,2001-01-01T00:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.018700000000000005, 0.01759999999999999, 0.012800000000000004, 0.015, 0.01569999999999999, 0.01659999999999999, 0.017899999999999992, 0.010799999999999997, 0.015599999999999994, 0.020900000000000002, 0.026800000000000004, 0.010099999999999991, 0.015399999999999997, 0.024900000000000005]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
