gage_id,time_start,sm_surface,sm_rootzone
1013500,2016-01-01T00:00:00,"[0.319712, 0.32738718, 0.32738718, 0.3194221, 0.3164924, 0.31081614, 0.3103126, 0.3174537, 0.31756052, 0.3205665, 0.32898936, 0.33376536, 0.3146461, 0.31562266, 0.3216804, 0.32259592, 0.33413157, 0.30967173, 0.30773386, 0.31148753, 0.31717905, 0.31400523, 0.31148753, 0.31717905, 0.31400523, 0.295359, 0.33124766, 0.32613596, 0.32213816, 0.32668528, 0.3231605]","[0.322645, 0.3450907, 0.3450907, 0.3386057, 0.33511144, 0.33057958, 0.3298319, 0.3408335, 0.33929235, 0.34113866, 0.349119, 0.3553446, 0.33631688, 0.33576757, 0.34258825, 0.34350377, 0.35265905, 0.32974035, 0.32618505, 0.33057958, 0.33791906, 0.33410436, 0.33057958, 0.33791906, 0.33410436, 0.3155802, 0.35304052, 0.34757787, 0.32572728, 0.32899266, 0.32571203]"
1022500,2016-01-01T00:00:00,"[0.500254, 0.28364024, 0.28756174, 0.27567515, 0.32990488, 0.742884]","[0.5201395, 0.2104395, 0.21104985, 0.16909581, 0.31419164, 0.91345006]"
1030500,2016-01-01T00:00:00,"[0.33326182, 0.36754832, 0.27137217, 0.30011973, 0.33777842, 0.33861765, 0.34176096, 0.33935007, 0.36901316, 0.21354899, 0.33747324, 0.33568797, 0.3379005, 0.3686622, 0.36878428, 0.3682197, 0.21193919, 0.3330482, 0.3686622, 0.36878428, 0.3682197, 0.21193919, 0.3330482, 0.36626658, 0.36716685, 0.36734995, 0.21316752, 0.33248362, 0.35787424, 0.35863718, 0.2078422, 0.32918772, 0.351786, 0.34899363, 0.33062205, 0.32035288, 0.34437022, 0.346598, 0.36426768, 0.3624061, 0.37755808, 0.35299143]","[0.35642797, 0.39164525, 0.21183568, 0.25255376, 0.3619669, 0.36311132, 0.36579686, 0.33915502, 0.37812597, 0.13976842, 0.36234838, 0.36111242, 0.3630045, 0.37791234, 0.3793314, 0.37969762, 0.1856516, 0.35847265, 0.37791234, 0.3793314, 0.37969762, 0.1856516, 0.35847265, 0.3755167, 0.3780802, 0.37376195, 0.13589269, 0.33187658, 0.35250646, 0.3623026, 0.1341837, 0.32735997, 0.3420847, 0.3374613, 0.30981237, 0.31799108, 0.3342722, 0.33926183, 0.3722666, 0.3698557, 0.37594396, 0.3496073]"
1031500,2016-01-01T00:00:00,"[0.31733164, 0.3493751, 0.32776865, 0.75289375, 0.7520698, 0.3189796, 0.32502207, 0.31832346, 0.36115488]","[0.33529454, 0.37397557, 0.3486765, 0.9143351, 0.91412145, 0.34213048, 0.34736425, 0.34300023, 0.38612157]"
1047000,2016-01-01T00:00:00,"[0.26487193, 0.29220042, 0.2704719, 0.26589426, 0.28985056, 0.74700385, 0.29070505, 0.2877296, 0.2899879, 0.27974924, 0.28171763, 0.28396067, 0.27520213]","[0.2641123, 0.3172434, 0.2714823, 0.26679784, 0.2890604, 0.9138163, 0.3142832, 0.31088048, 0.30984288, 0.29983312, 0.3027628, 0.30337316, 0.29168493]"
1052500,2016-01-01T00:00:00,"[0.3511909, 0.3502601, 0.35242686, 0.34986338]","[0.3746012, 0.37306005, 0.37423497, 0.37269384]"
1054200,2016-01-01T00:00:00,"[0.22848734, 0.22329935]","[0.22585088, 0.2197321]"
1055000,2016-01-01T00:00:00,"[0.28762278, 0.2886909, 0.28997263]","[0.31222326, 0.31381017, 0.3150614]"
1057000,2016-01-01T00:00:00,"[0.28234324, 0.23671946, 0.26966318]","[0.29533178, 0.22280675, 0.25968724]"
1073000,2016-01-01T00:00:00,[],[]
